Date,GOLD,gold_lag_1,gold_lag_2,gold_lag_3,gold_lag_4,gold_lag_5,gold_lag_6,gold_lag_7,gold_lag_8,gold_lag_9,gold_lag_10,stoxx50e,n225,SP500,NASDAQCOM,DJIA,DFEDTARU,VIXCLS,DTWEXBGS,DEXSZUS,DEXJPUS,DEXUSEU,DEXUSUK,DEXCHUS,CPIAUCSL,PPIACO,ADPMNUSNERSA,PAYEMS,JTSJOL,UNRATE,POILBREUSDM,A191RL1Q225SBEA,USSTHPI,Sum_of_new_cases
15/1/2013,1679.62,1667.8,1662.98,1675.36,1657.63,1659.13,1646.92,1656.1,1663.99,1686.89,1675.92,2701.590088,10879.08008,1472.34,3110.78,13534.89,0.25,13.55,90.5191,0.9275,88.65,1.3342,1.6089,6.2134,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
16/1/2013,1679.93,1679.62,1667.8,1662.98,1675.36,1657.63,1659.13,1646.92,1656.1,1663.99,1686.89,2702.540039,10600.44043,1472.63,3117.54,13511.23,0.25,13.42,90.596,0.9313,88.64,1.3305,1.6009,6.216,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
17/1/2013,1687.64,1679.93,1679.62,1667.8,1662.98,1675.36,1657.63,1659.13,1646.92,1656.1,1663.99,2718.929932,10609.63965,1480.94,3136,13596.02,0.25,13.57,90.5401,0.9331,89.41,1.3356,1.5991,6.2158,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
18/1/2013,1684.25,1687.64,1679.93,1679.62,1667.8,1662.98,1675.36,1657.63,1659.13,1646.92,1656.1,2709.590088,10913.2998,1485.98,3134.71,13649.7,0.25,12.46,90.8697,0.9346,89.9,1.3303,1.5876,6.2152,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
22/1/2013,1692.75,1690.05,1684.25,1687.64,1679.93,1679.62,1667.8,1662.98,1675.36,1657.63,1659.13,2716.699951,10709.92969,1492.56,3143.18,13712.21,0.25,12.43,90.7892,0.9278,88.62,1.3304,1.5862,6.2196,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
23/1/2013,1685.84,1692.75,1690.05,1684.25,1687.64,1679.93,1679.62,1667.8,1662.98,1675.36,1657.63,2708.280029,10486.99023,1494.81,3153.67,13779.33,0.25,12.46,90.8376,0.9295,88.44,1.3308,1.5848,6.2178,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
24/1/2013,1667.97,1685.84,1692.75,1690.05,1684.25,1687.64,1679.93,1679.62,1667.8,1662.98,1675.36,2722.959961,10620.87012,1494.82,3130.38,13825.33,0.25,12.69,90.9112,0.9288,90.04,1.3378,1.5789,6.2179,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
25/1/2013,1658.65,1667.97,1685.84,1692.75,1690.05,1684.25,1687.64,1679.93,1679.62,1667.8,1662.98,2744.179932,10926.65039,1502.96,3149.71,13895.98,0.25,12.89,91.0868,0.9252,91.04,1.3456,1.5799,6.2203,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
28/1/2013,1655.61,1658.65,1667.97,1685.84,1692.75,1690.05,1684.25,1687.64,1679.93,1679.62,1667.8,2744.5,10824.30957,1500.18,3154.3,13881.93,0.25,13.57,91.2354,0.9272,90.73,1.3459,1.5686,6.224,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
29/1/2013,1663.8,1655.61,1658.65,1667.97,1685.84,1692.75,1690.05,1684.25,1687.64,1679.93,1679.62,2749.27002,10866.71973,1507.84,3153.66,13954.42,0.25,13.31,90.9406,0.9216,90.65,1.3484,1.5751,6.2259,231.249,201.8,100148000,134833,3878,7.7,109.9118182,0.7,312.77,0
